Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2010-11,Group Stage,Benfica,47,Penalty,Away,1
Bernardo Silva,Portugal,Manchester City,2017-18,Group Stage,Atletico Madrid,25,Penalty,Home,1
Filippo Inzaghi,Italy,Ac Milan,2010-11,Round Of 16,Borussia Dortmund,17,Penalty,Away,1
Mohamed Salah,Egypt,Liverpool,2020-21,Round Of 16,Ajax,60,Free Kick,Away,2
Fernando Torres,Spain,Liverpool,2011-12,Final,Arsenal,94,Header,Home,2
Wayne Rooney,England,Manchester United,2021-22,Group Stage,Benfica,47,Right Foot,Away,1
Memphis Depay,Netherlands,Barcelona,2011-12,Final,Napoli,35,Penalty,Home,1
Kylian Mbappe,France,Real Madrid,2013-14,Group Stage,Manchester City,32,Left Foot,Home,1
Kevin De Bruyne,Belgium,Manchester City,2015-16,Semi-Final,Juventus,3,Right Foot,Away,1
Kevin De Bruyne,Belgium,Manchester City,2016-17,Group Stage,Porto,51,Right Foot,Away,1
Memphis Depay,Netherlands,Barcelona,2016-17,Group Stage,Tottenham Hotspur,11,Penalty,Away,1
Ruud Van Nistelrooy,Netherlands,Manchester United,2010-11,Final,Napoli,40,Left Foot,Away,2
Joshua Kimmich,Germany,Bayern Munich,2022-23,Round Of 16,Tottenham Hotspur,69,Right Foot,Away,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2012-13,Final,Manchester City,4,Left Foot,Away,3
Didier Drogba,Ivory Coast,Chelsea,2014-15,Group Stage,Real Madrid,12,Penalty,Home,1
Didier Drogba,Ivory Coast,Chelsea,2016-17,Quarter-Final,Paris Saint-Germain,82,Header,Away,2
Didier Drogba,Ivory Coast,Chelsea,2013-14,Semi-Final,Manchester United,32,Right Foot,Away,1
Filippo Inzaghi,Italy,Ac Milan,2019-20,Group Stage,Porto,60,Free Kick,Away,1
Bernardo Silva,Portugal,Manchester City,2013-14,Group Stage,Ac Milan,9,Header,Home,2
Robert Lewandowski,Poland,Borussia Dortmund,2014-15,Round Of 16,Inter Milan,14,Penalty,Home,2
Fernando Torres,Spain,Liverpool,2023-24,Final,Manchester City,59,Header,Home,1
Mohamed Salah,Egypt,Liverpool,2014-15,Quarter-Final,Bayern Munich,29,Right Foot,Away,1
Joshua Kimmich,Germany,Bayern Munich,2013-14,Group Stage,Barcelona,37,Free Kick,Away,1
Mohamed Salah,Egypt,Liverpool,2015-16,Quarter-Final,Manchester City,42,Right Foot,Home,2
Karim Benzema,France,Real Madrid,2010-11,Round Of 16,Ac Milan,15,Penalty,Away,2
Cristiano Ronaldo,Portugal,Real Madrid,2022-23,Round Of 16,Porto,64,Right Foot,Away,2
Ousmane Dembele,France,Paris Saint-Germain,2010-11,Final,Arsenal,32,Header,Away,3
Sergio Aguero,Argentina,Manchester City,2018-19,Group Stage,Liverpool,57,Right Foot,Home,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2017-18,Round Of 16,Bayern Munich,87,Left Foot,Home,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2022-23,Group Stage,Ac Milan,79,Right Foot,Away,2
Luis Suarez,Uruguay,Atletico Madrid,2013-14,Group Stage,Arsenal,69,Right Foot,Away,2
Kylian Mbappe,France,Paris Saint-Germain,2010-11,Round Of 16,Bayern Munich,92,Penalty,Home,2
Wayne Rooney,England,Manchester United,2017-18,Quarter-Final,Porto,28,Header,Home,1
Andriy Shevchenko,Ukraine,Ac Milan,2010-11,Group Stage,Manchester United,38,Header,Away,1
Robert Lewandowski,Poland,Barcelona,2015-16,Final,Sevilla,65,Left Foot,Home,1
Luis Suarez,Uruguay,Barcelona,2020-21,Round Of 16,Manchester United,30,Left Foot,Home,1
Robert Lewandowski,Poland,Borussia Dortmund,2018-19,Final,Chelsea,3,Free Kick,Away,1
Riyad Mahrez,Algeria,Manchester City,2013-14,Group Stage,Porto,33,Right Foot,Home,2
Joshua Kimmich,Germany,Bayern Munich,2023-24,Round Of 16,Manchester City,19,Right Foot,Away,3
Victor Osimhen,Nigeria,Napoli,2020-21,Quarter-Final,Paris Saint-Germain,69,Header,Home,2
Robert Lewandowski,Poland,Borussia Dortmund,2023-24,Group Stage,Ac Milan,91,Free Kick,Away,1
Filippo Inzaghi,Italy,Ac Milan,2014-15,Final,Borussia Dortmund,3,Right Foot,Home,1
Didier Drogba,Ivory Coast,Chelsea,2021-22,Group Stage,Paris Saint-Germain,18,Left Foot,Away,3
Kylian Mbappe,France,Paris Saint-Germain,2021-22,Round Of 16,Ajax,43,Penalty,Home,2
Paulo Dybala,Argentina,Juventus,2019-20,Group Stage,Ajax,35,Left Foot,Home,1
Sadio Mane,Senegal,Liverpool,2015-16,Round Of 16,Paris Saint-Germain,76,Right Foot,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2018-19,Semi-Final,Napoli,64,Right Foot,Away,1
Harry Kane,England,Bayern Munich,2019-20,Group Stage,Liverpool,46,Header,Away,1
Kevin De Bruyne,Belgium,Manchester City,2017-18,Round Of 16,Napoli,91,Header,Home,2
Ruud Van Nistelrooy,Netherlands,Manchester United,2013-14,Round Of 16,Juventus,48,Right Foot,Home,2
Wayne Rooney,England,Manchester United,2014-15,Group Stage,Juventus,34,Right Foot,Away,1
Lionel Messi,Argentina,Barcelona,2022-23,Final,Arsenal,60,Header,Home,1
Vinicius Junior,Brazil,Real Madrid,2015-16,Final,Bayern Munich,78,Penalty,Away,1
Vinicius Junior,Brazil,Real Madrid,2016-17,Group Stage,Atletico Madrid,86,Left Foot,Away,1
Andriy Shevchenko,Ukraine,Chelsea,2015-16,Round Of 16,Borussia Dortmund,51,Header,Home,2
Toni Kroos,Germany,Real Madrid,2010-11,Quarter-Final,Sevilla,19,Penalty,Home,1
Vinicius Junior,Brazil,Real Madrid,2019-20,Group Stage,Benfica,25,Penalty,Home,3
Jude Bellingham,England,Real Madrid,2017-18,Group Stage,Juventus,30,Header,Home,3
Wayne Rooney,England,Manchester United,2012-13,Quarter-Final,Ac Milan,74,Penalty,Home,3
Robert Lewandowski,Poland,Borussia Dortmund,2011-12,Semi-Final,Sevilla,1,Penalty,Home,1
Julian Alvarez,Argentina,Manchester City,2018-19,Final,Atletico Madrid,19,Right Foot,Home,2
Bukayo Saka,England,Arsenal,2020-21,Round Of 16,Bayern Munich,7,Penalty,Away,3
Didier Drogba,Ivory Coast,Chelsea,2021-22,Quarter-Final,Manchester United,92,Left Foot,Home,2
Filippo Inzaghi,Italy,Ac Milan,2012-13,Final,Sevilla,32,Penalty,Away,1
Gareth Bale,Wales,Real Madrid,2015-16,Final,Arsenal,42,Header,Away,3
Cristiano Ronaldo,Portugal,Real Madrid,2013-14,Final,Liverpool,63,Free Kick,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2019-20,Quarter-Final,Manchester City,57,Header,Home,3
Kylian Mbappe,France,Paris Saint-Germain,2010-11,Group Stage,Liverpool,78,Header,Home,1
Toni Kroos,Germany,Real Madrid,2017-18,Group Stage,Sevilla,49,Free Kick,Home,2
Lionel Messi,Argentina,Barcelona,2023-24,Final,Chelsea,19,Header,Away,3
Cristiano Ronaldo,Portugal,Manchester United,2011-12,Quarter-Final,Paris Saint-Germain,2,Header,Away,1
Thomas Muller,Germany,Bayern Munich,2016-17,Round Of 16,Inter Milan,20,Penalty,Away,1
Joshua Kimmich,Germany,Bayern Munich,2022-23,Final,Barcelona,30,Left Foot,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2015-16,Final,Liverpool,14,Header,Home,1
Robert Lewandowski,Poland,Borussia Dortmund,2012-13,Group Stage,Porto,42,Right Foot,Home,1
Thomas Muller,Germany,Bayern Munich,2012-13,Round Of 16,Liverpool,21,Right Foot,Home,2
Karim Benzema,France,Real Madrid,2014-15,Semi-Final,Benfica,56,Free Kick,Home,3
Julian Alvarez,Argentina,Manchester City,2022-23,Round Of 16,Paris Saint-Germain,48,Penalty,Home,1
Erling Haaland,Norway,Borussia Dortmund,2019-20,Quarter-Final,Benfica,63,Left Foot,Away,1
Cristiano Ronaldo,Portugal,Juventus,2018-19,Quarter-Final,Borussia Dortmund,43,Right Foot,Away,2
Raul Gonzalez,Spain,Real Madrid,2022-23,Group Stage,Paris Saint-Germain,78,Right Foot,Away,1
Joshua Kimmich,Germany,Bayern Munich,2010-11,Semi-Final,Manchester United,76,Right Foot,Home,1
Lionel Messi,Argentina,Paris Saint-Germain,2013-14,Quarter-Final,Bayern Munich,22,Penalty,Away,2
Paulo Dybala,Argentina,Juventus,2011-12,Semi-Final,Sevilla,76,Header,Away,3
Paulo Dybala,Argentina,Juventus,2022-23,Semi-Final,Bayern Munich,94,Penalty,Away,1
Jude Bellingham,England,Real Madrid,2010-11,Group Stage,Ac Milan,68,Left Foot,Home,2
Riyad Mahrez,Algeria,Manchester City,2013-14,Group Stage,Ac Milan,27,Right Foot,Home,3
Toni Kroos,Germany,Real Madrid,2010-11,Semi-Final,Manchester City,53,Left Foot,Away,1
Ruud Van Nistelrooy,Netherlands,Manchester United,2016-17,Semi-Final,Barcelona,27,Right Foot,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2012-13,Group Stage,Liverpool,59,Penalty,Home,1
Sergio Aguero,Argentina,Manchester City,2012-13,Round Of 16,Manchester United,64,Right Foot,Away,1
Wayne Rooney,England,Manchester United,2020-21,Group Stage,Benfica,50,Penalty,Away,1
Sadio Mane,Senegal,Bayern Munich,2023-24,Semi-Final,Liverpool,75,Free Kick,Home,2
Julian Alvarez,Argentina,Manchester City,2021-22,Semi-Final,Manchester United,60,Left Foot,Away,1
Thomas Muller,Germany,Bayern Munich,2018-19,Group Stage,Benfica,78,Penalty,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2023-24,Final,Barcelona,41,Header,Away,3
Andriy Shevchenko,Ukraine,Chelsea,2012-13,Group Stage,Atletico Madrid,59,Left Foot,Away,1
Sergio Aguero,Argentina,Manchester City,2016-17,Group Stage,Napoli,95,Right Foot,Away,1
Raul Gonzalez,Spain,Real Madrid,2011-12,Round Of 16,Napoli,42,Penalty,Home,3
Gareth Bale,Wales,Real Madrid,2013-14,Semi-Final,Bayern Munich,94,Header,Away,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2018-19,Semi-Final,Benfica,14,Free Kick,Away,3
Filippo Inzaghi,Italy,Ac Milan,2015-16,Group Stage,Ajax,12,Right Foot,Away,1
Riyad Mahrez,Algeria,Manchester City,2014-15,Quarter-Final,Barcelona,53,Left Foot,Home,2
Lionel Messi,Argentina,Paris Saint-Germain,2012-13,Group Stage,Arsenal,82,Left Foot,Away,1
Mohamed Salah,Egypt,Liverpool,2013-14,Group Stage,Chelsea,59,Right Foot,Home,1
Neymar Jr,Brazil,Barcelona,2012-13,Round Of 16,Sevilla,60,Header,Away,2
Paulo Dybala,Argentina,Juventus,2019-20,Group Stage,Porto,82,Left Foot,Home,2
Ousmane Dembele,France,Paris Saint-Germain,2016-17,Round Of 16,Ac Milan,14,Right Foot,Home,1
Fernando Torres,Spain,Liverpool,2013-14,Round Of 16,Ac Milan,94,Header,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2015-16,Group Stage,Barcelona,57,Free Kick,Away,1
Mohamed Salah,Egypt,Liverpool,2021-22,Round Of 16,Benfica,37,Header,Away,2
Vinicius Junior,Brazil,Real Madrid,2016-17,Round Of 16,Paris Saint-Germain,68,Penalty,Home,1
Julian Alvarez,Argentina,Manchester City,2020-21,Semi-Final,Barcelona,55,Free Kick,Away,3
Wayne Rooney,England,Manchester United,2017-18,Group Stage,Manchester City,25,Free Kick,Away,1
Riyad Mahrez,Algeria,Manchester City,2016-17,Round Of 16,Barcelona,61,Header,Away,3
Kylian Mbappe,France,Paris Saint-Germain,2012-13,Round Of 16,Manchester United,9,Free Kick,Away,1
Cristiano Ronaldo,Portugal,Real Madrid,2010-11,Group Stage,Ac Milan,46,Header,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2012-13,Group Stage,Porto,48,Penalty,Home,1
Bernardo Silva,Portugal,Manchester City,2021-22,Final,Barcelona,43,Penalty,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2014-15,Group Stage,Arsenal,16,Right Foot,Away,1
Julian Alvarez,Argentina,Manchester City,2011-12,Quarter-Final,Arsenal,57,Header,Home,1
Karim Benzema,France,Real Madrid,2010-11,Group Stage,Juventus,94,Right Foot,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2011-12,Group Stage,Ajax,88,Header,Home,1
Robert Lewandowski,Poland,Barcelona,2016-17,Round Of 16,Ac Milan,25,Penalty,Away,1
Ousmane Dembele,France,Barcelona,2022-23,Group Stage,Sevilla,40,Right Foot,Away,2
Joshua Kimmich,Germany,Bayern Munich,2014-15,Round Of 16,Manchester United,28,Penalty,Home,3
Wayne Rooney,England,Manchester United,2017-18,Group Stage,Sevilla,45,Penalty,Home,1
Toni Kroos,Germany,Real Madrid,2020-21,Final,Arsenal,24,Right Foot,Home,1
Raul Gonzalez,Spain,Real Madrid,2011-12,Group Stage,Barcelona,93,Free Kick,Home,2
Paulo Dybala,Argentina,Juventus,2013-14,Quarter-Final,Barcelona,39,Penalty,Away,3
Neymar Jr,Brazil,Paris Saint-Germain,2016-17,Quarter-Final,Juventus,69,Header,Away,1
Gareth Bale,Wales,Real Madrid,2015-16,Group Stage,Sevilla,83,Free Kick,Home,3
Filippo Inzaghi,Italy,Ac Milan,2016-17,Group Stage,Manchester City,38,Header,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2013-14,Group Stage,Barcelona,48,Penalty,Away,3
Sergio Aguero,Argentina,Manchester City,2020-21,Group Stage,Bayern Munich,47,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Inter Milan,2010-11,Round Of 16,Benfica,26,Free Kick,Away,3
Neymar Jr,Brazil,Barcelona,2022-23,Group Stage,Benfica,26,Right Foot,Home,3
Raul Gonzalez,Spain,Real Madrid,2019-20,Group Stage,Liverpool,4,Penalty,Home,2
Neymar Jr,Brazil,Barcelona,2020-21,Final,Napoli,48,Penalty,Away,3
Luis Suarez,Uruguay,Atletico Madrid,2017-18,Semi-Final,Porto,67,Header,Home,1
Ousmane Dembele,France,Barcelona,2020-21,Group Stage,Borussia Dortmund,66,Right Foot,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2019-20,Final,Juventus,48,Free Kick,Away,1
Filippo Inzaghi,Italy,Ac Milan,2014-15,Group Stage,Arsenal,78,Penalty,Home,2
Riyad Mahrez,Algeria,Manchester City,2021-22,Group Stage,Manchester United,88,Right Foot,Home,1
Ousmane Dembele,France,Barcelona,2023-24,Group Stage,Tottenham Hotspur,23,Header,Home,2
Kevin De Bruyne,Belgium,Manchester City,2018-19,Round Of 16,Napoli,34,Header,Home,3
Riyad Mahrez,Algeria,Manchester City,2020-21,Final,Barcelona,43,Header,Away,1
Kylian Mbappe,France,Real Madrid,2015-16,Round Of 16,Borussia Dortmund,80,Right Foot,Home,1
Victor Osimhen,Nigeria,Napoli,2021-22,Quarter-Final,Atletico Madrid,81,Penalty,Home,1
Kylian Mbappe,France,Paris Saint-Germain,2010-11,Semi-Final,Bayern Munich,48,Penalty,Away,2
Bernardo Silva,Portugal,Manchester City,2020-21,Group Stage,Real Madrid,93,Header,Home,3
Zlatan Ibrahimovic,Sweden,Barcelona,2012-13,Group Stage,Manchester City,70,Free Kick,Away,1
Bernardo Silva,Portugal,Manchester City,2015-16,Group Stage,Atletico Madrid,53,Header,Home,1
Lionel Messi,Argentina,Paris Saint-Germain,2019-20,Semi-Final,Barcelona,33,Free Kick,Away,1
Vinicius Junior,Brazil,Real Madrid,2013-14,Semi-Final,Ajax,95,Header,Away,3
Memphis Depay,Netherlands,Barcelona,2011-12,Quarter-Final,Tottenham Hotspur,91,Right Foot,Away,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2016-17,Semi-Final,Arsenal,33,Right Foot,Away,1
Sergio Aguero,Argentina,Manchester City,2019-20,Group Stage,Tottenham Hotspur,10,Penalty,Away,1
Neymar Jr,Brazil,Paris Saint-Germain,2023-24,Group Stage,Real Madrid,60,Penalty,Away,3
Lionel Messi,Argentina,Paris Saint-Germain,2015-16,Round Of 16,Chelsea,27,Header,Home,2
Riyad Mahrez,Algeria,Manchester City,2014-15,Round Of 16,Atletico Madrid,77,Right Foot,Away,2
Kevin De Bruyne,Belgium,Manchester City,2022-23,Round Of 16,Liverpool,80,Penalty,Away,1
Robert Lewandowski,Poland,Bayern Munich,2016-17,Round Of 16,Real Madrid,85,Right Foot,Home,1
Jude Bellingham,England,Real Madrid,2012-13,Semi-Final,Arsenal,67,Header,Away,1
Kylian Mbappe,France,Paris Saint-Germain,2010-11,Round Of 16,Real Madrid,78,Header,Away,1
Didier Drogba,Ivory Coast,Chelsea,2012-13,Group Stage,Atletico Madrid,33,Header,Home,2
Sadio Mane,Senegal,Bayern Munich,2012-13,Quarter-Final,Paris Saint-Germain,16,Right Foot,Home,3
Ousmane Dembele,France,Paris Saint-Germain,2021-22,Final,Borussia Dortmund,34,Right Foot,Home,2
Toni Kroos,Germany,Real Madrid,2023-24,Semi-Final,Chelsea,86,Free Kick,Home,3
Karim Benzema,France,Real Madrid,2018-19,Group Stage,Barcelona,94,Left Foot,Home,1
Fernando Torres,Spain,Chelsea,2022-23,Semi-Final,Arsenal,40,Right Foot,Home,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2014-15,Group Stage,Barcelona,89,Penalty,Home,1
Toni Kroos,Germany,Real Madrid,2019-20,Semi-Final,Juventus,32,Right Foot,Home,1
Harry Kane,England,Bayern Munich,2010-11,Semi-Final,Chelsea,74,Penalty,Home,2
Kylian Mbappe,France,Paris Saint-Germain,2017-18,Group Stage,Ac Milan,41,Left Foot,Home,3
Filippo Inzaghi,Italy,Ac Milan,2018-19,Group Stage,Sevilla,96,Left Foot,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2011-12,Quarter-Final,Arsenal,41,Header,Home,2
Julian Alvarez,Argentina,Manchester City,2010-11,Semi-Final,Bayern Munich,54,Penalty,Home,3
Alessandro Del Piero,Italy,Juventus,2019-20,Quarter-Final,Barcelona,17,Right Foot,Home,1
Victor Osimhen,Nigeria,Napoli,2012-13,Round Of 16,Manchester City,14,Right Foot,Away,1
Karim Benzema,France,Real Madrid,2016-17,Quarter-Final,Liverpool,38,Left Foot,Away,2
Sergio Aguero,Argentina,Manchester City,2023-24,Quarter-Final,Tottenham Hotspur,54,Right Foot,Home,1
Julian Alvarez,Argentina,Manchester City,2010-11,Round Of 16,Porto,37,Right Foot,Home,1
Wayne Rooney,England,Manchester United,2013-14,Group Stage,Ac Milan,88,Right Foot,Away,3
Ousmane Dembele,France,Paris Saint-Germain,2022-23,Round Of 16,Arsenal,94,Penalty,Home,2
Ruud Van Nistelrooy,Netherlands,Manchester United,2018-19,Group Stage,Real Madrid,23,Penalty,Away,3
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2012-13,Round Of 16,Inter Milan,6,Penalty,Away,2
Bukayo Saka,England,Arsenal,2010-11,Semi-Final,Benfica,16,Penalty,Away,1
Gareth Bale,Wales,Real Madrid,2017-18,Final,Borussia Dortmund,66,Left Foot,Away,1
Paulo Dybala,Argentina,Juventus,2018-19,Round Of 16,Ac Milan,9,Header,Away,2
Didier Drogba,Ivory Coast,Chelsea,2019-20,Group Stage,Sevilla,24,Header,Away,2
Thomas Muller,Germany,Bayern Munich,2019-20,Round Of 16,Manchester City,76,Penalty,Home,2
Jude Bellingham,England,Real Madrid,2010-11,Round Of 16,Paris Saint-Germain,33,Penalty,Home,3
Wayne Rooney,England,Manchester United,2011-12,Group Stage,Inter Milan,51,Right Foot,Away,1
Riyad Mahrez,Algeria,Manchester City,2012-13,Semi-Final,Sevilla,85,Header,Home,1
Karim Benzema,France,Real Madrid,2012-13,Group Stage,Ajax,86,Right Foot,Away,1
Robert Lewandowski,Poland,Bayern Munich,2020-21,Group Stage,Benfica,90,Header,Home,1
Sergio Aguero,Argentina,Manchester City,2022-23,Quarter-Final,Paris Saint-Germain,13,Left Foot,Home,1
Andriy Shevchenko,Ukraine,Ac Milan,2010-11,Group Stage,Sevilla,14,Penalty,Away,2
Neymar Jr,Brazil,Barcelona,2010-11,Final,Juventus,45,Penalty,Away,1
Memphis Depay,Netherlands,Barcelona,2022-23,Group Stage,Porto,4,Free Kick,Away,1
Victor Osimhen,Nigeria,Napoli,2011-12,Group Stage,Liverpool,15,Header,Away,3
Kylian Mbappe,France,Real Madrid,2014-15,Final,Arsenal,46,Header,Away,1
Antoine Griezmann,France,Atletico Madrid,2017-18,Group Stage,Ajax,29,Penalty,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2012-13,Group Stage,Barcelona,68,Right Foot,Home,1
Julian Alvarez,Argentina,Manchester City,2013-14,Final,Arsenal,55,Left Foot,Away,2
Harry Kane,England,Tottenham Hotspur,2019-20,Group Stage,Manchester United,95,Left Foot,Away,1
Sadio Mane,Senegal,Liverpool,2018-19,Group Stage,Porto,46,Right Foot,Away,2
Bukayo Saka,England,Arsenal,2016-17,Group Stage,Manchester City,82,Header,Away,1
Luka Modric,Croatia,Real Madrid,2015-16,Group Stage,Porto,90,Penalty,Away,3
Memphis Depay,Netherlands,Barcelona,2020-21,Round Of 16,Napoli,3,Right Foot,Home,1
Alessandro Del Piero,Italy,Juventus,2011-12,Final,Barcelona,74,Right Foot,Home,1
Neymar Jr,Brazil,Barcelona,2011-12,Final,Borussia Dortmund,82,Penalty,Away,2
Gareth Bale,Wales,Real Madrid,2018-19,Final,Arsenal,64,Right Foot,Away,2
Toni Kroos,Germany,Real Madrid,2019-20,Semi-Final,Ac Milan,41,Penalty,Away,1
Ousmane Dembele,France,Barcelona,2016-17,Semi-Final,Inter Milan,74,Header,Away,2
Ruud Van Nistelrooy,Netherlands,Manchester United,2016-17,Round Of 16,Napoli,96,Right Foot,Away,1
Bukayo Saka,England,Arsenal,2012-13,Group Stage,Napoli,22,Header,Away,1
Mohamed Salah,Egypt,Liverpool,2020-21,Round Of 16,Barcelona,54,Penalty,Home,1
Toni Kroos,Germany,Real Madrid,2023-24,Round Of 16,Napoli,61,Right Foot,Away,1
Harry Kane,England,Tottenham Hotspur,2015-16,Group Stage,Manchester United,70,Left Foot,Away,1
Karim Benzema,France,Real Madrid,2020-21,Round Of 16,Arsenal,77,Left Foot,Away,1
Sergio Aguero,Argentina,Manchester City,2023-24,Group Stage,Napoli,27,Header,Away,2
Vinicius Junior,Brazil,Real Madrid,2021-22,Round Of 16,Arsenal,24,Header,Away,1
Luka Modric,Croatia,Real Madrid,2018-19,Semi-Final,Sevilla,23,Left Foot,Away,3
Fernando Torres,Spain,Chelsea,2019-20,Group Stage,Manchester United,42,Left Foot,Away,2
Jude Bellingham,England,Real Madrid,2010-11,Round Of 16,Chelsea,44,Penalty,Home,1
Joshua Kimmich,Germany,Bayern Munich,2012-13,Group Stage,Tottenham Hotspur,49,Right Foot,Away,1
Karim Benzema,France,Real Madrid,2022-23,Group Stage,Chelsea,86,Right Foot,Home,2
Victor Osimhen,Nigeria,Napoli,2021-22,Semi-Final,Arsenal,48,Header,Home,2
Sergio Aguero,Argentina,Manchester City,2021-22,Final,Benfica,9,Right Foot,Home,3
Thomas Muller,Germany,Bayern Munich,2023-24,Round Of 16,Borussia Dortmund,72,Penalty,Home,1
Sergio Aguero,Argentina,Manchester City,2012-13,Group Stage,Barcelona,21,Left Foot,Home,1
Fernando Torres,Spain,Chelsea,2021-22,Round Of 16,Benfica,46,Header,Home,2
Alessandro Del Piero,Italy,Juventus,2015-16,Final,Liverpool,14,Left Foot,Home,1
Riyad Mahrez,Algeria,Manchester City,2023-24,Group Stage,Ajax,57,Right Foot,Home,1
Riyad Mahrez,Algeria,Manchester City,2019-20,Final,Real Madrid,5,Penalty,Home,3
Wayne Rooney,England,Manchester United,2018-19,Semi-Final,Ac Milan,34,Penalty,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2014-15,Final,Porto,3,Right Foot,Away,1
Fernando Torres,Spain,Chelsea,2021-22,Quarter-Final,Manchester United,26,Right Foot,Away,1
Joshua Kimmich,Germany,Bayern Munich,2016-17,Group Stage,Ajax,51,Header,Home,3
Jude Bellingham,England,Real Madrid,2018-19,Group Stage,Manchester United,51,Header,Away,2
Gareth Bale,Wales,Real Madrid,2011-12,Group Stage,Sevilla,91,Free Kick,Home,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2023-24,Round Of 16,Chelsea,25,Penalty,Away,3
Harry Kane,England,Bayern Munich,2021-22,Final,Manchester United,63,Right Foot,Home,2
Cristiano Ronaldo,Portugal,Manchester United,2010-11,Group Stage,Tottenham Hotspur,13,Left Foot,Away,1
Erling Haaland,Norway,Manchester City,2018-19,Round Of 16,Napoli,37,Right Foot,Home,3
Memphis Depay,Netherlands,Barcelona,2014-15,Final,Liverpool,39,Header,Away,1
Jude Bellingham,England,Real Madrid,2017-18,Group Stage,Napoli,34,Right Foot,Home,2
Harry Kane,England,Tottenham Hotspur,2020-21,Semi-Final,Chelsea,2,Penalty,Away,2
Luis Suarez,Uruguay,Barcelona,2017-18,Group Stage,Chelsea,47,Header,Away,1
Wayne Rooney,England,Manchester United,2014-15,Round Of 16,Tottenham Hotspur,95,Right Foot,Home,1
Erling Haaland,Norway,Manchester City,2023-24,Round Of 16,Tottenham Hotspur,47,Right Foot,Home,1
Erling Haaland,Norway,Manchester City,2010-11,Quarter-Final,Barcelona,96,Right Foot,Home,2
Sadio Mane,Senegal,Bayern Munich,2023-24,Semi-Final,Sevilla,11,Header,Away,1
Riyad Mahrez,Algeria,Manchester City,2021-22,Quarter-Final,Real Madrid,23,Right Foot,Away,1
Antoine Griezmann,France,Atletico Madrid,2012-13,Group Stage,Liverpool,50,Header,Home,1
Ousmane Dembele,France,Paris Saint-Germain,2013-14,Semi-Final,Inter Milan,48,Penalty,Home,2
Memphis Depay,Netherlands,Barcelona,2012-13,Group Stage,Ac Milan,48,Penalty,Away,1
Joshua Kimmich,Germany,Bayern Munich,2011-12,Quarter-Final,Barcelona,55,Penalty,Away,1
Neymar Jr,Brazil,Barcelona,2019-20,Group Stage,Manchester United,88,Left Foot,Away,2
Bernardo Silva,Portugal,Manchester City,2021-22,Quarter-Final,Real Madrid,53,Free Kick,Home,2
Harry Kane,England,Tottenham Hotspur,2018-19,Group Stage,Manchester City,3,Header,Home,1
Zlatan Ibrahimovic,Sweden,Barcelona,2021-22,Group Stage,Juventus,15,Penalty,Away,1
Alessandro Del Piero,Italy,Juventus,2019-20,Group Stage,Ac Milan,29,Penalty,Home,2
Bernardo Silva,Portugal,Manchester City,2013-14,Semi-Final,Arsenal,63,Header,Away,3
Luis Suarez,Uruguay,Atletico Madrid,2010-11,Quarter-Final,Porto,81,Penalty,Home,1
Filippo Inzaghi,Italy,Ac Milan,2011-12,Group Stage,Atletico Madrid,27,Header,Away,1
Didier Drogba,Ivory Coast,Chelsea,2017-18,Group Stage,Liverpool,82,Penalty,Away,1
Wayne Rooney,England,Manchester United,2020-21,Semi-Final,Manchester City,80,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Inter Milan,2017-18,Group Stage,Juventus,59,Free Kick,Home,1
Fernando Torres,Spain,Liverpool,2017-18,Round Of 16,Borussia Dortmund,67,Header,Away,2
Wayne Rooney,England,Manchester United,2019-20,Semi-Final,Barcelona,30,Right Foot,Home,2
Fernando Torres,Spain,Chelsea,2011-12,Round Of 16,Paris Saint-Germain,54,Header,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2017-18,Semi-Final,Sevilla,13,Free Kick,Away,1
