Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Raul Gonzalez,Spain,Real Madrid,2011-12,R16,Liverpool,5,Free Kick,AWAY,3
Fernando Torres,Spain,Chelsea,2017-18,Group Stage,Benfica,95,header,Home ,1
Andriy Shevchenko,Ukraine,Chelsea,2023-24,Round of 16,,86,Left Foot,Home,1
Cristiano Ronaldo,Portugal,Real Madrid,2021-22,GROUP STAGE,AC Milan,56,right foot,Away,1
  RUUD VAN NISTELROOY  ,Netherlands,Manchester United,2021-22,R16,Manchester United,68,header, Away,2
Raul Gonzalez,Spain,Real Madrid,2010-11,GROUP STAGE,Bayern Munich,63,Right Foot, Away,1
Didier Drogba,Ivory Coast,Chelsea,2010-11,GROUP STAGE,,90,Left Foot,AWAY,1
Alfredo Di Stefano,,Real Madrid,2015-16,Final,Borussia Dortmund,28,right foot, Away,1
Antoine Griezmann,France,Atletico Madrid,2022-23,Round of 16,Benfica,68,Free Kick,Home,1
Karim Benzema,France,Real Madrid,2010-11,Group stage,Benfica,94,Right Foot,Home ,2
Memphis Depay,Netherlands,Barcelona,2016-17,Group Stage,Porto,70,Left Foot,Home ,1
Victor Osimhen,Nigeria,Napoli,2012-13,Semi-final,Paris Saint-Germain,58,header,Home,2
Julian Alvarez,Argentina,Manchester City  ,2023-24,Final,AC Milan,42,Penalty,Home,1
Julian Alvarez,Argentina,Manchester City,2019-20,Quarter-final,Porto,34,Header,AWAY,1
Fernando Torres,Spain,Liverpool,2010-11,Quarter-final,Liverpool,14,Penalty,Home,1
Victor Osimhen,Nigeria,Napoli,2012-13,R16,Atletico Madrid,59,right foot,Home ,3
Cristiano Ronaldo,Portugal,Manchester United,2023-24,Quarter-final,Barcelona,61',PENALTY,Home,1
Thomas Muller,Germany,Bayern Munich,2016-17,Semi-final,Porto,7,Penalty,Home,2
Luka Modric,Croatia,Real Madrid,2018-19,Round of 16,Tottenham Hotspur,34,Left Foot,AWAY,2
Paulo Dybala,Argentina,Juventus,2023-24,Semi-final,Bayern Munich,58,header,home,3
Vinicius Junior,Brazil,Real Madrid  ,2022-23,Quarter-final,Paris Saint-Germain,60,Left Foot,Home ,3
Antoine Griezmann,France,Atletico Madrid,2019-20,GROUP STAGE,Porto,16,Penalty,AWAY,1
sadio mane,Senegal,Bayern Munich,2017-18,Quarter-final,Real Madrid,21,Penalty,Away,1
Luis Suarez,Uruguay,Barcelona,2013-14,Round of 16,Real Madrid,5,Free Kick,home,1
Karim Benzema,France,Real Madrid,2023-24,Round of 16,Barcelona,59,Header,Home ,3
Raul Gonzalez,Spain,Real Madrid,2023-24,Group Stage,Sevilla,64,Free Kick,Away,3
Mohamed Salah,Egypt,Liverpool,2018-19,Quarter-final,Ajax,78,right foot, Away,3
  HARRY KANE  ,England,Bayern Munich,2017-18,Final,Benfica,58,PENALTY, Away,1
Sadio Mane,Senegal,Bayern Munich,2022-23,Round of 16,Napoli,73,header, Away,2
julian alvarez,Argentina,Manchester City,2010-11,Round of 16,Ajax,6,Right Foot,Home,1
Gareth Bale,Wales,Real Madrid,2021-22,Group stage,,82,right foot,Home,2
Memphis Depay,Netherlands,Barcelona,2018-19,Group stage,Porto,56,Header,home,3
Bukayo Saka,England,Arsenal,2019-20,Group Stage,Manchester City,86,right foot,AWAY,2
Luis Suarez,Uruguay,Barcelona,2018-19,Semi-final,,96,PENALTY,home,1
Kevin De Bruyne,Belgium,Manchester City,2017-18,Quarter-final,,22,Penalty,Home ,2
Thomas Muller,Germany,Bayern Munich,2012-13,Group Stage,,,header, Away,1
Riyad Mahrez,Algeria,Manchester City,2023-24,Semi-final,Napoli,92,Free Kick,AWAY,2
Alfredo Di Stefano,Argentina,Real Madrid,2013-14,R16,Juventus,40,Free Kick,home,2
Riyad Mahrez,Algeria,Manchester City,2012-13,GROUP STAGE,Real Madrid,29',right foot,Away,2
ruud van nistelrooy,Netherlands,Manchester United,2013-14,Final,Sevilla,61,right foot,Home,3
Joshua Kimmich,Germany,Bayern Munich,2021-22,Group Stage,Juventus,47,Right Foot,home,1
Lionel Messi,Argentina,Paris Saint-Germain,2022-23,Final,Arsenal,19,Right Foot,AWAY,2
Toni Kroos,Germany,Real Madrid,2023-24,GROUP STAGE,Napoli,10,PENALTY,home,1
Gareth Bale,Wales,Real Madrid,2022-23,Round of 16,Atletico Madrid,29,PENALTY,home,1
Riyad Mahrez,Algeria,Manchester City,2012-13,GROUP STAGE,Paris Saint-Germain,94,Header,AWAY,2
Erling Haaland,Norway,Manchester City,2013-14,Round of 16,Atletico Madrid,78,Left Foot, Away,1
Sergio Aguero,Argentina,Manchester City,2013-14,GROUP STAGE,Barcelona,26,PENALTY,Away,1
Antoine Griezmann,France,Atletico Madrid,2022-23,Final,,20,Right Foot,Away,1
Mohamed Salah,Egypt,Liverpool,2021-22,R16,Sevilla,77,right foot,Home ,1
Memphis Depay,Netherlands,Barcelona,2015-16,Final,Inter Milan,53,PENALTY,Away,1
Neymar Jr,Brazil,Paris Saint-Germain,2018-19,Semi-final,Benfica,79,right foot,Home ,1
Raul Gonzalez,Spain,Real Madrid,2020-21,Group Stage,,23,PENALTY,Home ,1
  SERGIO AGUERO  ,Argentina,Manchester City,2019-20,R16,Real Madrid,11,Right Foot,Home,2
Alessandro Del Piero,Italy,Juventus,2013-14,GROUP STAGE,Paris Saint-Germain,90,PENALTY, Away,2
Ousmane Dembele,France,Barcelona,2018-19,Semi-final,Benfica,81,Header,Home,3
Karim Benzema,France,Real Madrid,2018-19,Final,Bayern Munich,40,header,home,2
Alessandro Del Piero,Italy,Juventus,2023-24,R16,Inter Milan,16,right foot,Home ,2
Zlatan Ibrahimovic,Sweden,AC Milan  ,2017-18,Final,Tottenham Hotspur,9,Free Kick,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2016-17,Group stage,Real Madrid,85,Header,Home ,2
Luka Modric,Croatia,Real Madrid,2015-16,Semi-final,Manchester United,28,header,home,1
Neymar Jr,Brazil,Paris Saint-Germain,2023-24,Group stage,Manchester City,94,right foot,AWAY,3
Mohamed Salah,Egypt,Liverpool  ,2017-18,R16,Sevilla,43,Free Kick, Away,1
Memphis Depay,Netherlands,Barcelona,2020-21,Group Stage,Real Madrid,14,header, Away,1
zlatan ibrahimovic,Sweden,Paris Saint-Germain,2010-11,Group stage,Porto,54,Header,Away,1
Bukayo Saka,England,Arsenal,2014-15,Round of 16,Real Madrid,60,Free Kick,Away,1
Vinicius Junior,Brazil,Real Madrid,2021-22,Quarter-final,Inter Milan,28,Right Foot, Away,1
Vinicius Junior,Brazil,Real Madrid,2017-18,Group Stage,Borussia Dortmund,30,Penalty, Away,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2023-24,Semi-final,Tottenham Hotspur,55,PENALTY,Away,1
Bernardo Silva,Portugal,Manchester City,2011-12,Final,Real Madrid,31,Free Kick,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2017-18,Semi-final,Borussia Dortmund,70,header, Away,3
Victor Osimhen,Nigeria,Napoli,2016-17,Round of 16,,63,Right Foot,Away,1
Victor Osimhen,Nigeria,Napoli,2018-19,Final,AC Milan,39,Penalty,home,2
Antoine Griezmann,France,Atletico Madrid,2014-15,GROUP STAGE,Sevilla,60,Free Kick,Home,2
  THOMAS MULLER  ,Germany,Bayern Munich,2021-22,Round of 16,Napoli,76,header, Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2019-20,GROUP STAGE,Benfica,83,Header,Away,2
Paulo Dybala,Argentina,Juventus,2022-23,Group Stage,Porto,40,Right Foot,Away,2
Filippo Inzaghi,Italy,AC Milan,2022-23,Quarter-final,Sevilla,58,Header,Away,2
Karim Benzema,France,Real Madrid,2019-20,Round of 16,Atletico Madrid,15,Left Foot,AWAY,1
Paulo Dybala,Argentina,Juventus,2014-15,Quarter-final,Napoli,94,PENALTY,Home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2015-16,Group stage,Sevilla,41,header,home,1
Paulo Dybala,Argentina,Juventus,2013-14,GROUP STAGE,Porto,8,Left Foot,home,1
Ousmane Dembele,France,Barcelona,2016-17,R16,Napoli,45,Header,Away,1
Kevin De Bruyne,Belgium,Manchester City,2020-21,Group Stage,Porto,5,Right Foot,Away,3
Didier Drogba,Ivory Coast,Chelsea,2015-16,Group Stage,,78,Header, Away,2
Cristiano Ronaldo,Portugal,Real Madrid  ,2017-18,R16,Real Madrid,78,right foot,Home,1
Joshua Kimmich,Germany,Bayern Munich,2010-11,GROUP STAGE,Tottenham Hotspur,36,Penalty,Home,1
Raul Gonzalez,Spain,Real Madrid,2021-22,R16,Napoli,64,header,AWAY,1
Riyad Mahrez,Algeria,Manchester City,2021-22,GROUP STAGE,Manchester City,64,PENALTY,Away,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2015-16,Group stage,Manchester City,84,Penalty,Home ,2
Luis Suarez,Uruguay,Barcelona,2018-19,Final,Napoli,3',Penalty,Home ,1
Luis Suarez,Uruguay,Barcelona,2018-19,Final,Napoli,3',Penalty,Home ,1
Andriy Shevchenko,Ukraine,AC Milan,2019-20,GROUP STAGE,,9,Header, Away,1
  KEVIN DE BRUYNE  ,Belgium,Manchester City,2020-21,Group stage,Tottenham Hotspur,96,Right Foot, Away,2
Robert Lewandowski,Poland,Barcelona,2019-20,R16,Borussia Dortmund,64,Free Kick,AWAY,2
Cristiano Ronaldo,Portugal,Real Madrid,2011-12,Group Stage,,18,header,AWAY,1
Joshua Kimmich,Germany,Bayern Munich,2013-14,GROUP STAGE,Ajax,52,Free Kick,Home ,1
Didier Drogba,Ivory Coast,Chelsea,2014-15,Final,Manchester United,37,Free Kick,Home,1
Antoine Griezmann,France,Atletico Madrid,2015-16,Group stage,Juventus,88,right foot,home,1
Luka Modric,Croatia,Real Madrid,2019-20,Semi-final,Arsenal,1,right foot,Away,2
Neymar Jr,Brazil,Paris Saint-Germain,2012-13,Semi-final,Benfica,51,Header,Away,2
Antoine Griezmann,France,Atletico Madrid,2016-17,GROUP STAGE,Chelsea,71',header,Home ,1
Sadio Mane,Senegal,Bayern Munich,2020-21,Final,Manchester United,85,Penalty, Away,1
zlatan ibrahimovic,Sweden,Inter Milan,2019-20,Group Stage,Benfica,55,Penalty,Home,3
Sadio Mane,Senegal,Liverpool,2011-12,Group stage,Bayern Munich,69,header,Away,1
Victor Osimhen,Nigeria,Napoli,2017-18,R16,Paris Saint-Germain,32,right foot,Home ,3
Antoine Griezmann,France,Atletico Madrid  ,2015-16,Quarter-final,Porto,91,Left Foot,Home,1
Mohamed Salah,Egypt,Liverpool,2019-20,Quarter-final,AC Milan,26,right foot,Away,2
Zlatan Ibrahimovic,Sweden,Inter Milan,2012-13,Group Stage,Atletico Madrid,5,right foot,Away,3
Jude Bellingham,England,Real Madrid,2022-23,Round of 16,Sevilla,47,Right Foot,home,1
Luis Suarez,Uruguay,Atletico Madrid,2016-17,Group Stage,,24,Free Kick, Away,2
Neymar Jr,Brazil,Paris Saint-Germain,2011-12,GROUP STAGE,Manchester United,52,Header,Home,1
Robert Lewandowski,Poland,Borussia Dortmund,2021-22,GROUP STAGE,Atletico Madrid,25,right foot, Away,3
Luka Modric,Croatia,Real Madrid,2017-18,Round of 16,Inter Milan,76,header,home,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2010-11,Final,Bayern Munich,60,Right Foot,Away,3
Kevin De Bruyne,Belgium,Manchester City,2012-13,Final,Benfica,31,Free Kick,AWAY,1
Fernando Torres,Spain,Liverpool  ,2012-13,Group stage,Tottenham Hotspur,44,header,AWAY,1
Neymar Jr,Brazil,Barcelona,2023-24,Semi-final,Porto,90,Right Foot,Away,2
Memphis Depay,Netherlands,Barcelona,2012-13,Round of 16,Real Madrid,93,right foot,home,1
Toni Kroos,Germany,Real Madrid  ,2011-12,R16,Real Madrid,64,right foot,Home ,2
Cristiano Ronaldo,Portugal,Juventus,2013-14,Group Stage,Atletico Madrid,29,header,Away,1
Luka Modric,Croatia,Real Madrid,2016-17,R16,Atletico Madrid,65,Right Foot,Home ,1
Robert Lewandowski,Poland,Borussia Dortmund,2012-13,Round of 16,Benfica,48,Free Kick,Away,1
Riyad Mahrez,Algeria,Manchester City,2013-14,Semi-final,Barcelona,40',right foot,Home,1
Karim Benzema,France,Real Madrid,2014-15,GROUP STAGE,Real Madrid,26,Right Foot, Away,1
Paulo Dybala,Argentina,Juventus,2011-12,Group stage,Bayern Munich,52,Right Foot,AWAY,1
Neymar Jr,Brazil,Barcelona,2010-11,R16,Inter Milan,23,Right Foot,Away,3
Joshua Kimmich,Germany,Bayern Munich,2023-24,GROUP STAGE,AC Milan,60,Header,Home,1
Kylian Mbappe,France,Real Madrid,2017-18,R16,Porto,4,PENALTY, Away,2
Victor Osimhen,Nigeria,Napoli,2020-21,Group stage,Liverpool,4,Left Foot,home,2
Kevin De Bruyne,Belgium,Manchester City,2012-13,Final,Benfica,32,Header,AWAY,1
Fernando Torres,Spain,Chelsea,2013-14,GROUP STAGE,Tottenham Hotspur,64,header,home,1
Wayne Rooney,England,Manchester United,2020-21,Group Stage,Paris Saint-Germain,2,Left Foot,Home ,3
Lionel Messi,Argentina,Paris Saint-Germain,2012-13,Group Stage,Juventus,15,Left Foot, Away,1
Ousmane Dembele,France,Barcelona  ,2017-18,Quarter-final,Borussia Dortmund,38,Header,AWAY,3
Neymar Jr,Brazil,Barcelona,2023-24,Group stage,Sevilla,64,Right Foot, Away,1
Erling Haaland,Norway,Borussia Dortmund,2012-13,Group Stage,Paris Saint-Germain,38,Right Foot,Home ,1
Raul Gonzalez,Spain,Real Madrid,2010-11,Group Stage,Sevilla,96,Header,Home,3
Sadio Mane,Senegal,Liverpool,2013-14,Final,Inter Milan,57,PENALTY,home,1
luis suarez,Uruguay,Atletico Madrid,2014-15,Quarter-final,Bayern Munich,16,Header,Away,2
Antoine Griezmann,France,Atletico Madrid,2018-19,GROUP STAGE,Real Madrid,48,Header,home,1
Jude Bellingham,England,Real Madrid,2016-17,Quarter-final,Real Madrid,78,PENALTY,Away,1
Wayne Rooney,England,Manchester United,2022-23,R16,Juventus,68,right foot,Home ,1
Julian Alvarez,Argentina,Manchester City,2014-15,Final,AC Milan,50,header, Away,1
Fernando Torres,Spain,Liverpool,2019-20,Final,,86,PENALTY, Away,1
  TONI KROOS  ,Germany,Real Madrid,2013-14,Group Stage,,17,Header,Away,2
Sergio Aguero,Argentina,Manchester City,2013-14,Group stage,Borussia Dortmund,1,Penalty,Home,2
Filippo Inzaghi,Italy,AC Milan  ,2013-14,Round of 16,Benfica,56,Left Foot,AWAY,2
Luis Suarez,Uruguay,Atletico Madrid,2021-22,R16,Sevilla,68,PENALTY,AWAY,1
Victor Osimhen,Nigeria,Napoli,2023-24,Round of 16,Inter Milan,70,PENALTY,home,2
Bukayo Saka,England,Arsenal,2017-18,Round of 16,Atletico Madrid,18,Free Kick,Home,1
Alessandro Del Piero,Italy,Juventus,2013-14,Group Stage,Borussia Dortmund,16,Right Foot,Home ,1
Lionel Messi,Argentina,Barcelona,2021-22,Quarter-final,Benfica,38,PENALTY,Home,1
Harry Kane,England,Bayern Munich  ,2020-21,GROUP STAGE,Tottenham Hotspur,63,Free Kick,Away,1
Lionel Messi,Argentina,Barcelona,2010-11,Final,Manchester United,52',PENALTY,AWAY,1
Alfredo Di Stefano,Argentina,Real Madrid,2022-23,Group stage,Atletico Madrid,37,PENALTY,Home ,2
Ruud van Nistelrooy,Netherlands,Real Madrid,2010-11,Semi-final,Chelsea,75,Penalty,home,1
Alessandro Del Piero,Italy,Juventus,2013-14,Quarter-final,Manchester City,24,PENALTY, Away,1
Thomas Muller,Germany,Bayern Munich,2013-14,Round of 16,Tottenham Hotspur,61,Right Foot,Home ,1
kevin de bruyne,Belgium,Manchester City,2014-15,Quarter-final,Barcelona,28,Right Foot,home,2
Cristiano Ronaldo,Portugal,Real Madrid,2015-16,Semi-final,Inter Milan,96,Penalty,home,1
Toni Kroos,Germany,Real Madrid,2010-11,Group Stage,Benfica,54,Left Foot,Away,1
Robert Lewandowski,Poland,Bayern Munich,2014-15,R16,,94,right foot,AWAY,1
Bernardo Silva,Portugal,Manchester City,2011-12,Group stage,Ajax,68,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2014-15,R16,Barcelona,36,Left Foot, Away,2
Riyad Mahrez,Algeria,Manchester City,2015-16,Final,Bayern Munich,56,Header,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2015-16,GROUP STAGE,Real Madrid,40,Header,AWAY,1
Gareth Bale,Wales,Real Madrid,2013-14,Quarter-final,Barcelona,36,Free Kick, Away,2
Thomas Muller,Germany,Bayern Munich,2013-14,Semi-final,Arsenal,34,Penalty,home,1
Alessandro Del Piero,Italy,Juventus,2022-23,Quarter-final,Liverpool,28,PENALTY,Away,3
Raul Gonzalez,Spain,Real Madrid,2012-13,Group stage,,30,Header,AWAY,3
Thomas Muller,Germany,Bayern Munich,2018-19,R16,,47,Header,AWAY,1
Jude Bellingham,England,Real Madrid,2022-23,GROUP STAGE,Tottenham Hotspur,55,Free Kick,Home,2
Wayne Rooney,England,Manchester United,2022-23,Group stage,Paris Saint-Germain,52,Left Foot,Home ,1
Vinicius Junior,Brazil,Real Madrid,2017-18,R16,Atletico Madrid,27,Header, Away,1
Karim Benzema,France,Real Madrid,2018-19,Semi-final,Porto,72,right foot, Away,2
Kevin De Bruyne,Belgium,Manchester City,2010-11,Round of 16,Barcelona,93,header,Away,1
Cristiano Ronaldo,Portugal,Manchester United,2014-15,R16,Real Madrid,4,Left Foot,Home,2
Mohamed Salah,Egypt,Liverpool,2012-13,R16,Juventus,9,PENALTY,Home ,2
Joshua Kimmich,Germany,Bayern Munich,2013-14,Final,Manchester United,27,header,home,2
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2010-11,GROUP STAGE,Benfica,47,Penalty,AWAY,1
Bernardo Silva,Portugal,Manchester City,2017-18,Group stage,Atletico Madrid,25,Penalty,Home ,1
Filippo Inzaghi,,AC Milan,2010-11,Round of 16,Borussia Dortmund,17,PENALTY, Away,1
Mohamed Salah,Egypt,Liverpool,2020-21,R16,Ajax,60,Free Kick,AWAY,2
Fernando Torres,Spain,Liverpool,2011-12,Final,Arsenal,94,header,Home ,2
Wayne Rooney,England,Manchester United,2021-22,GROUP STAGE,Benfica,47,right foot, Away,1
  MEMPHIS DEPAY  ,Netherlands,Barcelona,2011-12,Final,Napoli,35,PENALTY,Home ,1
Kylian Mbappe,France,Real Madrid,2013-14,GROUP STAGE,Manchester City,32,Left Foot,Home,1
Kevin De Bruyne,Belgium,Manchester City,2015-16,Semi-final,Juventus,3,Right Foot, Away,1
Kevin De Bruyne,Belgium,Manchester City,2016-17,GROUP STAGE,Porto,51,right foot,AWAY,1
Memphis Depay,Netherlands,Barcelona,2016-17,Group Stage,Tottenham Hotspur,11,PENALTY,Away,1
Ruud van Nistelrooy,Netherlands,Manchester United,2010-11,Final,Napoli,40,Left Foot, Away,2
Joshua Kimmich,Germany,Bayern Munich,2022-23,Round of 16,Tottenham Hotspur,69,Right Foot, Away,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2012-13,Final,Manchester City,4,Left Foot,Away,3
Didier Drogba,Ivory Coast,Chelsea,2014-15,Group Stage,Real Madrid,12,PENALTY,home,1
Thomas Muller,Germany,Bayern Munich,2013-14,Quarter-final,Liverpool,35,right foot,AWAY,3
Didier Drogba,Ivory Coast,Chelsea,2016-17,Quarter-final,Paris Saint-Germain,82,Header,AWAY,2
Didier Drogba,Ivory Coast,Chelsea,2013-14,Semi-final,Manchester United,32,right foot,Away,1
Filippo Inzaghi,Italy,AC Milan,2019-20,Group Stage,Porto,60',Free Kick, Away,1
Bernardo Silva,Portugal,Manchester City,2013-14,Group Stage,AC Milan,9,Header,Home,2
Robert Lewandowski,Poland,Borussia Dortmund,2014-15,Round of 16,Inter Milan,14,PENALTY,Home,2
Fernando Torres,Spain,Liverpool,2023-24,Final,Manchester City,59,Header,Home ,1
Mohamed Salah,Egypt,Liverpool,2014-15,Quarter-final,Bayern Munich,29,right foot,AWAY,1
Joshua Kimmich,Germany,Bayern Munich,2013-14,Group Stage,Barcelona,37,Free Kick, Away,1
Mohamed Salah,Egypt,Liverpool,2015-16,Quarter-final,Manchester City,42,Right Foot,Home,2
Karim Benzema,France,Real Madrid,2010-11,R16,AC Milan,15,PENALTY,Away,2
Cristiano Ronaldo,Portugal,Real Madrid,2022-23,R16,Porto,64,Right Foot,AWAY,2
Ousmane Dembele,France,Paris Saint-Germain,2010-11,Final,Arsenal,32,Header, Away,3
Sergio Aguero,Argentina,Manchester City,2018-19,Group stage,Liverpool,57,Right Foot,Home ,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2017-18,Round of 16,Bayern Munich,87,Left Foot,home,1
Riyad Mahrez,Algeria,Manchester City  ,2021-22,GROUP STAGE,,89,Left Foot,Away,2
Ruud van Nistelrooy,Netherlands,Real Madrid,2022-23,Group stage,AC Milan,79,right foot,AWAY,2
Luis Suarez,Uruguay,Atletico Madrid,2013-14,Group stage,Arsenal,69,Right Foot, Away,2
Kylian Mbappe,France,Paris Saint-Germain,2010-11,R16,Bayern Munich,92,PENALTY,Home,2
Paulo Dybala,Argentina,Juventus,2021-22,Round of 16,,46,Left Foot,home,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2015-16,GROUP STAGE,,2,Penalty,Home,2
Wayne Rooney,England,Manchester United,2017-18,Quarter-final,Porto,28,Header,home,1
Andriy Shevchenko,Ukraine,AC Milan,2010-11,Group stage,Manchester United,38,Header,Away,1
Robert Lewandowski,Poland,Barcelona,2015-16,Final,Sevilla,65,Left Foot,home,1
Luis Suarez,Uruguay,Barcelona  ,2020-21,Round of 16,Manchester United,30,Left Foot,Home,1
Robert Lewandowski,Poland,Borussia Dortmund,2018-19,Final,Chelsea,3,Free Kick, Away,1
Riyad Mahrez,Algeria,Manchester City,2013-14,GROUP STAGE,Porto,33,right foot,Home ,2
Joshua Kimmich,Germany,Bayern Munich,2023-24,Round of 16,Manchester City,19,Right Foot,AWAY,3
Victor Osimhen,Nigeria,Napoli,2020-21,Quarter-final,Paris Saint-Germain,69,header,home,2
Robert Lewandowski,Poland,Borussia Dortmund,2023-24,GROUP STAGE,AC Milan,91,Free Kick,Away,1
Filippo Inzaghi,Italy,AC Milan,2014-15,Final,Borussia Dortmund,3,Right Foot,Home ,1
Didier Drogba,Ivory Coast,Chelsea,2021-22,Group Stage,Paris Saint-Germain,18,Left Foot, Away,3
Kylian Mbappe,France,Paris Saint-Germain,2021-22,R16,Ajax,43,PENALTY,home,2
Paulo Dybala,Argentina,Juventus,2019-20,Group stage,Ajax,35,Left Foot,Home ,1
Sadio Mane,Senegal,Liverpool,2015-16,Round of 16,Paris Saint-Germain,76,Right Foot,Home ,1
Mohamed Salah,Egypt,Liverpool,2023-24,Group stage,,60,PENALTY,home,1
alfredo di stefano,Argentina,Real Madrid,2018-19,Semi-final,Napoli,64,Right Foot, Away,1
Harry Kane,England,Bayern Munich,2019-20,Group stage,Liverpool,46,Header, Away,1
Kevin De Bruyne,Belgium,Manchester City,2017-18,Round of 16,Napoli,91,header,Home ,2
Ruud van Nistelrooy,Netherlands,Manchester United,2013-14,R16,Juventus,,Right Foot,Home,2
Wayne Rooney,England,Manchester United,2014-15,Group Stage,Juventus,34,right foot, Away,1
Lionel Messi,Argentina,Barcelona,2022-23,Final,Arsenal,60,header,Home ,1
Vinicius Junior,Brazil,Real Madrid,2015-16,Final,Bayern Munich,78,Penalty, Away,1
Vinicius Junior,Brazil,Real Madrid,2016-17,Group Stage,Atletico Madrid,86,Left Foot,Away,1
Andriy Shevchenko,Ukraine,Chelsea,2015-16,Round of 16,Borussia Dortmund,51,Header,Home,2
Toni Kroos,Germany,Real Madrid,2010-11,Quarter-final,Sevilla,19,Penalty,Home,1
Toni Kroos,Germany,Real Madrid  ,2010-11,Group stage,,29,Free Kick,home,1
Vinicius Junior,Brazil,Real Madrid,2019-20,GROUP STAGE,Benfica,25,Penalty,Home,3
Jude Bellingham,England,Real Madrid,2017-18,GROUP STAGE,Juventus,30,Header,Home ,3
Wayne Rooney,England,Manchester United,2012-13,Quarter-final,AC Milan,74,Penalty,Home,3
Harry Kane,England,Tottenham Hotspur,2017-18,GROUP STAGE,,90,Penalty,AWAY,1
Sadio Mane,Senegal,Bayern Munich,2022-23,Group Stage,Bayern Munich,73,header, Away,1
Kevin De Bruyne,Belgium,Manchester City,2018-19,Round of 16,Manchester City,92,right foot,Home ,3
Robert Lewandowski,Poland,Borussia Dortmund,2011-12,Semi-final,Sevilla,1,PENALTY,Home,1
Julian Alvarez,Argentina,Manchester City  ,2018-19,Final,Atletico Madrid,19,right foot,Home ,2
Bukayo Saka,England,Arsenal,2020-21,R16,Bayern Munich,7,Penalty, Away,3
Didier Drogba,Ivory Coast,Chelsea,2021-22,Quarter-final,Manchester United,92,Left Foot,Home,2
Filippo Inzaghi,Italy,AC Milan,2012-13,Final,Sevilla,32',PENALTY,Away,1
Gareth Bale,Wales,Real Madrid,2015-16,Final,Arsenal,42,Header,Away,3
Cristiano Ronaldo,Portugal,Real Madrid,2013-14,Final,Liverpool,63,Free Kick,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2019-20,Quarter-final,Manchester City,57',Header,Home ,3
Kylian Mbappe,France,Paris Saint-Germain,2010-11,Group Stage,Liverpool,78,Header,Home ,1
Toni Kroos,Germany,Real Madrid,2017-18,Group stage,Sevilla,49,Free Kick,home,2
Lionel Messi,Argentina,Barcelona,2023-24,Final,Chelsea,19,Header,AWAY,3
Cristiano Ronaldo,Portugal,Manchester United,2011-12,Quarter-final,Paris Saint-Germain,2,header,Away,1
Thomas Muller,Germany,Bayern Munich,2016-17,Round of 16,Inter Milan,20,Penalty,AWAY,1
  JOSHUA KIMMICH  ,Germany,Bayern Munich,2022-23,Final,Barcelona,30,Left Foot,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2015-16,Final,Liverpool,14,Header,Home,1
Robert Lewandowski,Poland,Borussia Dortmund,2012-13,GROUP STAGE,Porto,42,Right Foot,Home ,1
Thomas Muller,Germany,Bayern Munich,2012-13,R16,Liverpool,21,Right Foot,Home,2
Andriy Shevchenko,Ukraine,AC Milan,2016-17,Round of 16,,39,PENALTY,Home,2
Karim Benzema,France,Real Madrid,2014-15,Semi-final,Benfica,56,Free Kick,home,3
Luka Modric,Croatia,Real Madrid,2021-22,R16,,83,Penalty,Home ,2
  JULIAN ALVAREZ  ,Argentina,Manchester City,2022-23,R16,Paris Saint-Germain,,Penalty,home,1
Erling Haaland,Norway,Borussia Dortmund,2019-20,Quarter-final,Benfica,63,Left Foot,Away,1
Cristiano Ronaldo,Portugal,Juventus,2018-19,Quarter-final,Borussia Dortmund,43,right foot, Away,2
Raul Gonzalez,Spain,Real Madrid,2022-23,Group stage,Paris Saint-Germain,78,Right Foot,Away,1
Joshua Kimmich,Germany,Bayern Munich,2010-11,Semi-final,Manchester United,76,Right Foot,Home ,1
Lionel Messi,Argentina,Paris Saint-Germain,2013-14,Quarter-final,Bayern Munich,22,Penalty,AWAY,2
Paulo Dybala,Argentina,Juventus,2011-12,Semi-final,Sevilla,76,header, Away,3
  PAULO DYBALA  ,Argentina,Juventus  ,2022-23,Semi-final,Bayern Munich,94,Penalty,Away,1
Cristiano Ronaldo,Portugal,Manchester United,2021-22,Group stage,Manchester United,17,header,Home,1
Jude Bellingham,England,Real Madrid,2010-11,GROUP STAGE,AC Milan,68,Left Foot,Home,2
Riyad Mahrez,Algeria,Manchester City,2013-14,Group Stage,AC Milan,27,right foot,Home,3
